UNIT,STUB_NAME,STUB_LABEL,YEAR,ESTIMATE,FLAG
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1950,13.2,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1960,12.5,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1970,13.1,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1980,12.2,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1981,12.3,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1982,12.5,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1983,12.4,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1984,12.6,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1985,12.5,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1986,13.0,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1987,12.8,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1988,12.5,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1989,12.3,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1990,12.5,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1991,12.3,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1992,12.0,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1993,12.1,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1994,11.9,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1995,11.8,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1996,11.5,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1997,11.2,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1998,11.1,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,1999,10.5,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,2000,10.4,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,2001,10.7,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,2002,10.9,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,2003,10.8,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,2004,11.0,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,2005,10.9,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,2006,11.0,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,2007,11.3,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,2008,11.6,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,2009,11.8,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,2010,12.1,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,2011,12.3,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,2012,12.6,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,2013,12.6,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,2014,13.0,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,2015,13.3,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,2016,13.5,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,2017,14.0,
"Deaths per 100,000 resident population, age-adjusted",Total,All persons,2018,14.2,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1950,21.2,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1960,20.0,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1970,19.8,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1980,19.9,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1981,19.8,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1982,20.4,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1983,20.4,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1984,20.9,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1985,21.1,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1986,21.9,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1987,21.7,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1988,21.2,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1989,21.0,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1990,21.5,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1991,21.2,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1992,20.5,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1993,20.7,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1994,20.5,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1995,20.3,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1996,19.8,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1997,19.1,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1998,18.9,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,1999,17.8,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,2000,17.7,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,2001,18.2,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,2002,18.5,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,2003,18.1,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,2004,18.1,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,2005,18.1,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,2006,18.1,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,2007,18.5,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,2008,19.0,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,2009,19.2,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,2010,19.8,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,2011,20.0,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,2012,20.4,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,2013,20.3,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,2014,20.7,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,2015,21.1,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,2016,21.4,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,2017,22.4,
"Deaths per 100,000 resident population, age-adjusted",Sex,Male,2018,22.8,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1950,5.6,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1960,5.6,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1970,7.4,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1980,5.7,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1981,6.0,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1982,5.8,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1983,5.5,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1984,5.6,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1985,5.2,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1986,5.5,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1987,5.3,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1988,5.1,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1989,4.9,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1990,4.8,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1991,4.7,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1992,4.6,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1993,4.6,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1994,4.4,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1995,4.3,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1996,4.3,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1997,4.3,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1998,4.3,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,1999,4.0,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,2000,4.0,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,2001,4.1,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,2002,4.2,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,2003,4.2,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,2004,4.5,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,2005,4.4,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,2006,4.5,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,2007,4.6,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,2008,4.8,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,2009,4.9,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,2010,5.0,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,2011,5.2,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,2012,5.4,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,2013,5.5,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,2014,5.8,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,2015,6.0,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,2016,6.0,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,2017,6.1,
"Deaths per 100,000 resident population, age-adjusted",Sex,Female,2018,6.2,
"Deaths per 100,000 resident population, age-adjusted",Sex and race and Hispanic origin,Male: White,1950,,...
"Deaths per 100,000 resident population, age-adjusted",Sex and race and Hispanic origin,Male: White,1960,,...
"Deaths per 100,000 resident population, age-adjusted",Sex and race and Hispanic origin,Male: White,1970,,...
"Deaths per 100,000 resident population, age-adjusted",Sex and race and Hispanic origin,Male: White,1980,,...
"Deaths per 100,000 resident population, age-adjusted",Sex and race and Hispanic origin,Male: White,1981,,...
"Deaths per 100,000 resident population, age-adjusted",Sex and race and Hispanic origin,Male: White,1982,,...
"Deaths per 100,000 resident population, age-adjusted",Sex and race and Hispanic origin,Male: White,1983,,...
"Deaths per 100,000 resident population, age-adjusted",Sex and race and Hispanic origin,Male: White,1984,,...
"Deaths per 100,000 resident population, age-adjusted",Sex and race and Hispanic origin,Male: White,1985,22.9,
"Deaths per 100,000 resident population, age-adjusted",Sex and race and Hispanic origin,Male: White,1986,22.8,
