Herkunft,Herkunft Kategorie
Australien,INT
Baden Württemberg,DE
Bayern,DE
Belgien,EUR
Berlin,DE
Burgenland,AT
Dänemark,EUR
Estland,EUR
Finnland,EUR
Frankreich,EUR
Griechenland,EUR
Israel,INT
Italien,EUR
Kärnten,AT
Kroatien,EUR
Lettland,EUR
Litauen,EUR
Mitteldeutschland,DE
Neuseeland,INT
Niederlande,EUR
Niederösterreich,AT
Norddeutschland,DE
Nordrhein-Westfalen,DE
Norwegen,EUR
Oberösterreich,AT
Ostdeutschland,DE
Polen,EUR
Salzburg,AT
Schweden,EUR
Schweiz und Liechtenstein,EUR
Slowakei,EUR
Slowenien,EUR
Spanien,EUR
Steiermark,AT
Südostasien,INT
Tirol,AT
Tschechische Republik,EUR
Übriges Ausland,INT
Ungarn,EUR
USA,INT
Vereinigtes Königreich,EUR
Vorarlberg,AT
Wien,AT
Arabische Länder Asiens,INT
Bulgarien,EUR
China,INT
ehem. Jugoslawien,EUR
Indien,INT
Irland  (Republik),EUR
Island,EUR
Japan,INT
Kanada,INT
Luxemburg,EUR
Malta,EUR
Portugal,EUR
Rumänien,EUR
Russland,EUR
Südafrika,INT
Südkorea,INT
Taiwan,INT
Türkei,INT
übrige GUS,INT
Übriges Afrika,INT
Übriges Asien,INT
Ukraine,EUR
Zentral- und Südamerika,INT
Zypern,EUR
Brasilien,INT
Saudi-Arabien,INT
Vereinigte Arabische Emirate,INT
