full_name,a,e,i,H,diameter,albedo,class,first_obs
473279 (2015 NG12),3.139,0.1201,27.52,15.8,4.583,0.146,MBA,2008-01-10
379452 (2010 CD114),3.097,0.1138,2.65,16.83,2.917,0.04,MBA,2005-03-11
469825 (2005 SG209),2.411,0.2629,24.98,17.21,1.254,0.178,MBA,2005-08-29
 22346 Katsumatatakashi (1992 SY12),2.323,0.2105,9.83,14.47,3.91,0.241,MBA,1992-09-28
  4980 Magomaev (1974 SP1),3.196,0.1456,1.83,12.66,16.963,0.074,MBA,1974-09-19
143974 (2003 YA143),2.583,0.1218,13.25,15.44,5.54,0.052,MBA,2002-10-04
228936 (2003 SC390),3.129,0.1148,5.98,16.24,3.144,0.065,MBA,1998-12-19
  5704 Schumacher (1950 DE),3.208,0.1217,11.6,12.19,23.597,0.055,OMB,1950-02-17
 33441 Catherineprato (1999 FT18),2.4,0.0882,6.77,15.13,2.495,0.374,MBA,1993-10-12
236986 (2008 QU9),3.213,0.134,19.48,15.43,5.075,0.069,OMB,2000-03-03
197536 (2004 EJ64),3.124,0.0913,12.26,15.42,3.906,0.098,MBA,2002-12-10
 98999 (2001 DE48),2.583,0.1997,5.01,15.97,2.179,0.257,MBA,1991-10-13
392408 (2010 LE86),3.14,0.2574,15.84,16.22,1.844,0.227,MBA,1999-10-09
100208 (1994 JD2),3.09,0.0826,3.61,15.6,3.907,0.067,MBA,1994-04-19
       (2010 HK71),2.619,0.2242,12.73,17.41,2.235,0.027,MBA,2007-11-14
457989 (2009 WV19),3.137,0.179,16.42,15.88,2.512,0.147,MBA,2004-12-03
 10987 (1967 US),2.404,0.1682,7.4,13.48,4.736,0.453,MBA,1967-10-13
 31711 Suresh (1999 JY52),2.793,0.0842,9.28,14.39,3.591,0.344,MBA,1998-01-24
274647 (2008 TN135),2.857,0.1547,4.76,16.42,4.798,0.028,MBA,2003-09-27
132616 (2002 LO3),2.62,0.3571,27.24,15.55,4.715,0.087,MBA,1977-08-14
       (2015 BS514),3.014,0.5585,17.95,18.7,0.711,0.116,MCA,2015-01-21
 75747 (2000 AX153),2.177,0.1305,7.06,15.18,2.213,0.3,MBA,1999-12-15
 54469 (2000 OM8),3.114,0.0904,9.51,14.3,4.916,0.122,MBA,1999-04-11
225633 (2001 FF15),2.979,0.1169,6.85,15.59,5.549,0.044,MBA,1996-04-12
 43754 (1983 AA),2.296,0.2428,24.19,14.27,3.251,0.42,MBA,1983-01-09
       (2010 PU4),2.683,0.2155,15.73,18.41,1.219,0.057,MBA,2010-08-01
139373 (2001 MA18),2.672,0.1782,11.05,15.09,4.548,0.116,MBA,2000-03-09
101161 (1998 RJ78),2.352,0.1664,3.59,16.61,3.225,0.051,MBA,1991-11-29
207241 (2005 EJ172),2.691,0.0714,4.06,16.25,4.281,0.039,MBA,1996-02-15
  7979 Pozharskij (1978 SV7),2.848,0.0734,6.77,13.97,11.541,0.053,MBA,1954-11-23
114833 (2003 OZ22),2.284,0.1338,4.64,16.42,1.491,0.347,MBA,1996-09-08
234177 (2000 QZ1),2.596,0.3037,14.27,15.82,3.807,0.084,MBA,2000-08-02
294098 (2007 TD225),3.067,0.0533,6.15,16.22,4.608,0.03,MBA,1996-09-08
106580 (2000 WZ98),3.164,0.1632,1.61,15.36,5.096,0.052,MBA,1960-09-24
 17158 (1999 KA8),3.067,0.1102,9.76,13.21,7.419,0.185,MBA,1994-06-03
238817 Titeuf (2005 PQ16),3.048,0.2414,7.33,16.11,3.009,0.093,MBA,2000-11-03
 51122 (2000 HN35),3.144,0.1567,10.81,13.9,9.09,0.078,MBA,1999-02-12
186768 (2004 DS11),2.393,0.2231,4.03,17.12,2.935,0.039,MBA,1999-12-15
 32408 (2000 RU12),3.049,0.0633,10.19,14.13,4.114,0.379,MBA,1993-03-26
246651 (2008 YS22),3.0,0.1213,5.44,16.42,3.06,0.057,MBA,1999-03-21
241066 (2006 SP218),2.72,0.1435,9.74,15.99,4.552,0.049,MBA,1995-04-08
342556 (2008 UT244),2.561,0.1624,15.3,16.46,3.71,0.035,MBA,2000-12-04
142633 (2002 TC178),2.552,0.2872,10.22,16.45,3.025,0.077,MBA,1998-11-14
 30982 (1995 SP5),3.151,0.1756,1.98,13.85,10.698,0.056,MBA,1980-01-22
101547 (1998 YM27),3.156,0.2278,15.82,14.78,3.961,0.178,MBA,1997-08-11
158059 (2000 SW358),2.69,0.1553,13.67,15.4,4.853,0.075,MBA,2000-09-29
151148 (2001 XP58),2.775,0.2015,7.22,16.3,3.319,0.053,MBA,2000-09-03
 71679 (2000 EY181),2.998,0.0472,11.7,14.42,4.874,0.205,MBA,2000-02-03
 35207 (1994 PN36),3.066,0.0544,10.21,14.65,4.907,0.14,MBA,1994-08-10
 39404 (9582 P-L),3.106,0.2176,16.23,13.92,4.302,0.263,MBA,1960-10-17
471496 (2011 WN112),3.402,0.0515,20.52,15.2,5.373,0.106,OMB,2003-06-08
 72792 (2001 FD176),2.968,0.0694,10.55,14.52,6.167,0.106,MBA,1998-09-21
344928 (2004 TH80),2.638,0.2017,5.82,16.96,2.873,0.049,MBA,2004-09-18
264796 (2002 NF59),3.118,0.1886,17.54,15.51,7.236,0.023,MBA,2002-06-25
 47769 (2000 DK104),3.208,0.0919,13.12,13.46,10.383,0.094,OMB,1991-09-10
154271 (2002 SZ17),2.181,0.1095,0.65,17.55,1.711,0.073,MBA,1994-02-15
105326 (2000 QS82),3.088,0.0279,22.11,14.57,7.338,0.069,MBA,1998-03-24
 32546 (2001 QE14),3.145,0.1575,0.09,14.17,8.463,0.068,MBA,1985-12-17
241901 (2001 XF149),2.552,0.1581,3.62,17.02,1.638,0.138,MBA,2001-12-14
 39527 (1989 TO5),2.323,0.1916,4.08,15.45,2.338,0.323,MBA,1989-09-28
316578 (2011 SV254),2.333,0.0712,1.48,17.43,2.338,0.089,MBA,1999-04-20
249871 (2001 QZ190),2.665,0.1482,8.19,16.35,1.666,0.253,MBA,2001-08-22
140903 (2001 VO49),2.949,0.073,11.5,14.95,6.573,0.059,MBA,2001-08-25
 10617 Takumi (1997 UK24),2.202,0.0899,4.55,13.61,4.543,0.499,MBA,1953-04-05
351597 (2005 UW524),3.18,0.1087,14.9,15.67,3.426,0.087,MBA,2005-10-31
 89945 (2002 GZ33),3.109,0.0705,11.29,14.81,5.086,0.119,MBA,1999-10-08
160184 (2001 XM114),2.758,0.2407,7.76,16.13,3.888,0.042,MBA,1998-04-21
 47806 (2000 EV65),3.124,0.0398,0.92,14.43,7.839,0.066,MBA,1991-09-08
 65143 (2002 CY112),3.18,0.1377,2.26,15.15,5.154,0.05,MBA,1994-12-28
   300 Geraldina (A890 TB),3.203,0.0592,0.73,9.77,67.373,0.052,OMB,1900-06-04
 43439 (2000 YX54),2.574,0.1118,3.07,15.28,2.525,0.192,MBA,1991-10-04
 27347 Dworkin (2000 DN14),2.278,0.0906,6.0,15.33,2.291,0.255,MBA,1994-10-04
247288 (2001 SC250),3.426,0.1408,9.94,15.26,6.025,0.058,OMB,2001-09-19
 29277 (1993 FB34),3.128,0.0589,3.53,14.64,6.202,0.087,MBA,1993-03-19
 70866 (1999 VM149),2.78,0.0824,4.08,15.35,5.234,0.064,MBA,1999-11-04
 31339 (1998 KY30),3.213,0.1872,14.26,13.72,11.357,0.055,OMB,1978-12-03
       (2010 OH70),3.173,0.2237,11.48,17.67,2.465,0.073,MBA,2010-07-25
206284 (2003 AL66),3.087,0.077,17.96,15.01,6.135,0.062,MBA,1996-11-03
 27160 (1999 AQ4),3.006,0.098,9.95,13.65,7.691,0.13,MBA,1960-10-17
 21138 (1993 FS24),2.621,0.082,4.5,15.07,2.548,0.272,MBA,1993-03-21
 99347 (2001 XO104),2.155,0.1158,4.74,15.94,1.776,0.322,MBA,1991-10-06
 38046 Krasnoyarsk (1998 SW144),3.955,0.2113,3.01,13.25,16.493,0.041,OMB,1990-10-18
 36240 (1999 VN44),2.618,0.1547,27.95,13.89,9.409,0.043,MBA,1985-03-21
 29132 Bradpitt (1987 BP1),2.546,0.2482,5.46,15.1,3.089,0.268,MBA,1987-01-22
 97435 (2000 AX235),2.988,0.086,12.61,14.75,4.412,0.173,MBA,2000-01-05
109241 (2001 QH98),2.377,0.2446,5.96,15.51,2.407,0.254,MBA,2001-06-15
236144 (2005 UU103),2.261,0.0835,1.9,17.65,1.688,0.062,MBA,2000-04-05
387706 (2002 YY25),2.31,0.1865,6.88,17.21,1.486,0.167,MBA,2002-12-05
 97732 (2000 GL171),3.045,0.1238,5.89,14.74,6.051,0.101,MBA,2000-04-05
 51687 (2001 KP12),2.3,0.0698,7.69,14.85,2.624,0.446,MBA,1998-08-20
158680 (2003 FS34),2.328,0.1771,2.97,16.64,2.716,0.072,MBA,1997-10-30
 40729 (1999 SJ12),2.365,0.2475,24.64,14.05,3.877,0.488,MBA,1998-04-22
241436 (2008 WH123),3.161,0.0586,4.35,16.04,5.162,0.038,MBA,2000-04-10
 18435 (1994 GW10),2.441,0.181,7.72,14.48,3.769,0.285,MBA,1990-03-21
 68553 (2001 XF68),1.931,0.1089,18.2,15.13,1.568,0.788,IMB,1995-09-30
202356 (2005 EF214),3.012,0.1309,2.81,16.37,3.016,0.059,MBA,2000-04-06
237476 (2000 FE18),3.086,0.1687,13.85,15.34,5.771,0.064,MBA,2000-03-29
206899 (2004 HP34),3.167,0.147,10.66,15.48,5.535,0.048,MBA,1998-03-03
 23185 (2000 PQ7),2.995,0.2101,14.79,13.54,6.675,0.208,MBA,1956-03-16
344471 (2002 PN59),2.265,0.2228,26.52,16.32,3.694,0.049,MBA,2002-08-10
