Name;Total;rel_foreign;rel_women
Flensburg, Stadt;95016;0.15494395621743934;0.5070883544703468
Kiel, Landeshauptstadt;249126;0.12273413290946165;0.5110283344906896
Lübeck, Hansestadt;215952;0.11352207373655988;0.5201613276655646
Neumünster, Stadt;79622;0.11913343799058085;0.5043579825178338
Brunsbüttel, Stadt;12579;0.09178398154776107;0.49801177031970734
Heide, Stadt;21481;0.1151393866058547;0.5152868909674717
Averlak;566;0.02640845070422535;0.4894366197183099
Brickeln;191;0.02617801047120419;0.46875
Buchholz;998;0.02197802197802198;0.49001996007984033
Burg (Dithmarschen);4141;0.037590361445783135;0.5120481927710844
Dingen;648;0.020061728395061727;0.49074074074074076
Eddelak;1334;0.030827067669172932;0.49812171299774605
Eggstedt;758;0.024967148488830485;0.48172323759791125
Frestedt;343;0.008902077151335312;0.486646884272997
Großenrade;490;0.02074688796680498;0.4780793319415449
Hochdonn;1118;0.011565836298932384;0.5150976909413855
Kuden;624;0.01929260450160772;0.49038461538461536
Quickborn;194;0.05851063829787234;0.5502645502645502
Sankt Michaelisdonn;3534;0.03786380333427522;0.5127190503109101
Süderhastedt;760;0.016861219195849545;0.5291073738680466
Diekhusen-Fahrstedt;674;0.017777777777777778;0.5178041543026706
Friedrichskoog;2394;0.06658343736995423;0.5006242197253433
Helse;795;0.0125;0.4880803011292346
Kaiser-Wilhelm-Koog;353;0.12921348314606743;0.4747191011235955
Kronprinzenkoog;832;0.06602641056422569;0.49278846153846156
Marne, Stadt;5764;0.07578910856746444;0.5225537820957669
Marnerdeich;400;0.0379746835443038;0.4708860759493671
Neufeld;619;0.06199021207177814;0.5130718954248366
Neufelderkoog;121;0.07758620689655173;0.4909090909090909
Ramhusen;162;0.01875;0.50625
Schmedeswurth;168;0.04597701149425287;0.5086705202312138
Trennewurth;233;0.017467248908296942;0.4780701754385965
Volsemenhusen;327;0.012195121951219513;0.4573170731707317
Barkenholm;175;0.022598870056497175;0.45454545454545453
Bergewöhrden;34;0.0;0.5142857142857142
Dellstedt;720;0.018105849582172703;0.4714881780250348
Delve;761;0.014473684210526316;0.4855263157894737
Dörpling;638;0.0141287284144427;0.49607535321821034
Fedderingen;263;0.01509433962264151;0.47761194029850745
Gaushorn;167;0.0;0.4632768361581921
Glüsing;105;0.12149532710280374;0.49523809523809526
Groven;87;0.1;0.3563218390804598
Hemme;490;0.0841683366733467;0.4738955823293173
Hennstedt;2064;0.038145823273780785;0.5074843070980203
Hövede;58;0.0625;0.5
Hollingstedt;308;0.023026315789473683;0.49
Karolinenkoog;130;0.045454545454545456;0.4122137404580153
Kleve;420;0.014527845036319613;0.4855769230769231
Krempel;600;0.021666666666666667;0.4866666666666667
Lehe;1084;0.026556776556776556;0.5059578368469294
Linden;876;0.02288329519450801;0.49426605504587157
Lunden;1729;0.1129125651418645;0.4930555555555556
Norderheistedt;141;0.04580152671755725;0.48854961832061067
Pahlen;1168;0.017933390264730998;0.49615055603079555
Rehm-Flehde-Bargen;540;0.05194805194805195;0.5083487940630798
Sankt Annen;317;0.00964630225080386;0.46006389776357826
Schalkholz;585;0.005190311418685121;0.5008695652173913
Schlichting;248;0.0205761316872428;0.4686192468619247
Tellingstedt;2680;0.033295922184811075;0.5205838323353293
Tielenhemme;157;0.0;0.50625
Wallen;34;0.0;0.5588235294117647
Welmbüttel;405;0.017241379310344827;0.5012285012285013
Westerborstel;110;0.0;0.512396694214876
Wiemerstedt;150;0.0;0.4605263157894737
Wrohm;749;0.04048582995951417;0.4993270524899058
Süderdorf;365;0.03591160220994475;0.48626373626373626
Süderheistedt;552;0.03467153284671533;0.4870848708487085
Hemmingstedt;2860;0.028321678321678322;0.503675183759188
Lieth;375;0.010498687664041995;0.5342105263157895
Lohe-Rickelshof;2032;0.029901960784313727;0.5252574791564493
Neuenkirchen;925;0.07708779443254818;0.5085653104925053
Norderwöhrden;264;0.07633587786259542;0.47307692307692306
Nordhastedt;2798;0.04316803424901891;0.5099928622412563
Ostrohe;865;0.02191464821222607;0.5144175317185697
Stelle-Wittenwurth;455;0.041304347826086954;0.5478260869565217
Wöhrden;1161;0.11931330472103004;0.5120274914089347
Weddingstedt;2369;0.03795866722901729;0.5126582278481012
Wesseln;1369;0.033625730994152045;0.5153733528550513
Albersdorf;3717;0.08205542103847188;0.5248856604788809
Arkebek;221;0.048458149779735685;0.47368421052631576
Bargenstedt;926;0.016304347826086956;0.5135722041259501
Barlt;758;0.05504587155963303;0.5006570302233903
Bunsoh;768;0.02464332036316472;0.5026041666666666
Busenwurth;310;0.07142857142857142;0.5
